CASE;QUESTNNR;MODE;STARTED;GR01_01;GR01_02;GR01_03;GR01_04;GR01_05;GR01_06;GR01_07;IN03;IV01_01;IV04_01;IV04_02;IV03_01;SC04_01;SC04_02;SC05_01;SC05_02;SC06_01;SC06_02;SC07_01;SC07_02;SC08_01;SC08_02;SC09_01;SC09_02;SC10_01;SC10_02;SC11_01;SC11_02;SC12_01;SC12_02;SC13_01;SC13_02;TIME001;TIME002;TIME003;TIME005;TIME006;TIME007;TIME008;TIME009;TIME010;TIME011;TIME_SUM;MAILSENT;LASTDATA;FINISHED;Q_VIEWER;LASTPAGE;MAXPAGE;MISSING;MISSREL;TIME_RSI;Age;Sex
1094;short;interview;11.12.2023 17:19;2;1;4;1;2;1;2;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;7;NA;NA;NA;NA;7;3;35;23;NA;5;NA;NA;NA;NA;73;NA;11.12.2023 17:20;1;0;7;7;0;0;1,18;20;Female
731;short;interview;11.12.2023 16:18;4;4;5;4;4;4;4;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;6;NA;NA;NA;NA;NA;NA;3;5;18;26;NA;9;NA;NA;NA;NA;61;NA;11.12.2023 16:19;1;0;7;7;0;0;1,34;35;Female
328;long;interview;09.12.2023 15:47;4;2;4;4;4;2;2;1;greedfirst;sc1sc3sc4sc2random2;SC13SC09SC06SC04;Small;7;7;NA;NA;6;5;NA;NA;NA;NA;5;5;NA;NA;1;4;NA;NA;1;2;21;5;38;53;8;4;6;15;NA;3;153;NA;09.12.2023 15:50;1;0;11;11;0;0;1,82;69;Female
637;long;interview;09.12.2023 16:21;3;2;4;3;3;2;4;1;greedfirst;sc2sc1sc4sc3random2;SC13SC07SC08SC04;Small;1;1;NA;NA;NA;NA;2;2;2;2;NA;NA;NA;NA;1;5;NA;NA;1;2;2;3;29;17;7;5;3;4;NA;2;72;NA;09.12.2023 16:22;1;0;11;11;0;0;2,55;61;Female
41;long;interview;09.12.2023 14:49;2;2;2;2;4;1;4;1;greedlast;sc3sc1sc4sc2random2;SC09SC13SC06SC04;Small;3;3;NA;NA;2;2;NA;NA;NA;NA;3;4;NA;NA;4;7;NA;NA;3;3;12;11;NA;48;50;42;23;28;37;12;263;NA;09.12.2023 14:54;1;0;11;11;0;0;0,69;23;Female
511;long;interview;09.12.2023 16:10;2;2;2;2;2;1;1;1;greedlast;sc1sc2sc4sc3random2;SC05SC09SC06SC12;Large;NA;NA;9;9;7;4;NA;NA;NA;NA;5;7;3;4;NA;NA;1;8;NA;NA;8;16;NA;33;32;47;27;28;20;31;242;NA;09.12.2023 16:14;1;0;11;11;0;0;0,77;53;Female
1063;short;interview;11.12.2023 17:16;3;2;5;4;3;2;3;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;8;NA;NA;NA;NA;NA;NA;10;5;NA;61;80;27;NA;NA;NA;NA;183;NA;11.12.2023 17:19;1;0;7;7;0;0;0,54;52;Female
1206;short;interview;11.12.2023 17:27;4;2;1;2;1;1;1;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;NA;NA;NA;NA;NA;NA;2;2;26;30;NA;9;NA;NA;NA;NA;69;NA;11.12.2023 17:28;1;0;7;7;0;0;1,64;34;Female
1145;short;interview;11.12.2023 17:23;1;1;1;2;1;1;2;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;8;NA;NA;NA;NA;6;15;25;22;NA;11;NA;NA;NA;NA;79;NA;11.12.2023 17:24;1;0;7;7;0;0;0,9;36;Male
801;short;interview;11.12.2023 16:39;2;1;3;3;3;2;4;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;4;NA;NA;NA;NA;3;2;87;34;NA;2;NA;NA;NA;NA;128;NA;11.12.2023 16:41;1;0;7;7;0;0;1,8;22;Female
1184;short;interview;11.12.2023 17:25;4;3;4;2;4;4;4;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;8;NA;NA;NA;NA;NA;NA;3;3;20;23;NA;4;NA;NA;NA;NA;53;NA;11.12.2023 17:26;1;0;7;7;0;0;1,63;22;Female
824;short;interview;11.12.2023 16:44;4;4;4;4;5;3;4;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;6;NA;NA;NA;NA;4;3;26;27;NA;9;NA;NA;NA;NA;69;NA;11.12.2023 16:45;1;0;7;7;0;0;1,25;23;Female
1034;short;interview;11.12.2023 17:12;2;3;4;2;2;3;4;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;5;NA;NA;NA;NA;NA;NA;4;4;NA;22;19;4;NA;NA;NA;NA;53;NA;11.12.2023 17:13;1;0;7;7;0;0;1,43;31;Female
447;long;interview;09.12.2023 16:03;4;4;5;4;2;2;4;1;greedlast;sc2sc4sc3sc1random2;SC07SC13SC08SC04;Small;5;4;NA;NA;NA;NA;6;6;3;3;NA;NA;NA;NA;4;5;NA;NA;8;7;6;5;NA;23;12;20;17;19;15;5;122;NA;09.12.2023 16:05;1;0;11;11;0;0;1,47;25;Female
771;short;interview;11.12.2023 16:30;2;4;4;2;2;2;2;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;6;NA;NA;NA;NA;NA;NA;2;4;26;26;NA;5;NA;NA;NA;NA;63;NA;11.12.2023 16:31;1;0;7;7;0;0;1,53;20;Female
788;short;interview;11.12.2023 16:35;3;2;2;2;2;1;1;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;3;4;20;16;NA;8;NA;NA;NA;NA;51;NA;11.12.2023 16:36;1;0;7;7;0;0;1,51;53;Female
683;short;interview;11.12.2023 15:46;2;1;4;2;2;1;1;1;greedlast;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;8;NA;NA;NA;NA;10;25;NA;46;37;24;NA;NA;NA;NA;142;NA;11.12.2023 15:49;1;0;7;7;0;0;0,49;73;Female
696;short;interview;11.12.2023 15:54;1;1;1;1;1;1;1;1;greedlast;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4;NA;NA;NA;NA;3;3;NA;10;16;1;NA;NA;NA;NA;33;NA;11.12.2023 15:55;1;0;7;7;0;0;2,29;24;Female
521;long;interview;09.12.2023 16:11;1;1;4;1;1;1;1;1;greedlast;sc1sc2sc3sc4random2;SC07SC13SC04SC08;Large;9;10;NA;NA;NA;NA;8;8;7;8;NA;NA;8;9;NA;NA;NA;NA;4;5;4;2;NA;7;4;15;78;9;12;13;144;NA;09.12.2023 16:13;1;0;11;11;0;0;2,04;27;Female
692;short;interview;11.12.2023 15:53;4;4;2;4;4;3;2;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;8;NA;NA;NA;NA;NA;NA;8;5;40;44;NA;4;NA;NA;NA;NA;101;NA;11.12.2023 15:54;1;0;7;7;0;0;0,95;33;Female
783;short;interview;11.12.2023 16:33;4;3;4;4;4;4;4;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;7;NA;NA;NA;NA;NA;NA;2;3;NA;12;9;3;NA;NA;NA;NA;29;NA;11.12.2023 16:33;1;0;7;7;0;0;2,38;32;Female
522;long;interview;09.12.2023 16:11;1;2;2;4;1;1;1;1;greedfirst;sc4sc1sc2sc3random2;SC05SC09SC12SC06;Small;NA;NA;9;9;4;4;NA;NA;NA;NA;6;9;NA;NA;7;8;4;5;NA;NA;5;4;50;35;23;30;48;22;NA;7;224;NA;09.12.2023 16:15;1;0;11;11;0;0;1,02;26;Female
178;long;interview;09.12.2023 15:17;4;3;4;2;3;2;2;1;greedlast;sc1sc2sc4sc3random2;SC13SC05SC08SC06;Small;NA;NA;8;9;6;7;NA;NA;3;10;NA;NA;NA;NA;7;8;NA;NA;10;8;3;5;NA;22;14;17;17;8;27;5;118;NA;09.12.2023 15:19;1;0;11;11;0;0;1,71;37;Female
1096;short;interview;11.12.2023 17:19;5;4;5;5;5;5;5;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;3;NA;NA;NA;NA;NA;NA;8;24;67;104;NA;5;NA;NA;NA;NA;208;NA;11.12.2023 17:22;1;0;7;7;0;0;0,6;29;Female
725;short;interview;11.12.2023 16:14;3;3;4;4;4;3;2;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;NA;NA;NA;NA;6;14;28;27;NA;5;NA;NA;NA;NA;80;NA;11.12.2023 16:15;1;0;7;7;0;0;0,96;46;Female
823;short;interview;11.12.2023 16:43;4;4;2;4;2;2;2;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;5;NA;NA;NA;NA;NA;NA;6;4;42;27;NA;12;NA;NA;NA;NA;91;NA;11.12.2023 16:45;1;0;7;7;0;0;0,93;29;Female
1102;short;interview;11.12.2023 17:20;4;2;1;2;2;2;4;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;9;NA;NA;NA;NA;NA;NA;5;4;NA;24;19;6;NA;NA;NA;NA;58;NA;11.12.2023 17:21;1;0;7;7;0;0;1,24;21;Female
560;long;interview;09.12.2023 16:15;5;5;5;5;5;5;5;1;greedlast;sc2sc3sc4sc1random2;SC05SC09SC12SC06;Small;NA;NA;11;11;1;1;NA;NA;NA;NA;11;11;NA;NA;1;9;1;1;NA;NA;2;2;NA;23;13;18;17;12;14;2;103;NA;09.12.2023 16:16;1;0;11;11;0;0;2,08;21;Female
1018;short;interview;11.12.2023 17:10;4;4;5;2;2;2;2;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;5;NA;NA;NA;NA;NA;NA;230;4;31;37;NA;2;NA;NA;NA;NA;81;NA;11.12.2023 17:15;1;0;7;7;0;0;1,19;28;Female
1222;short;interview;11.12.2023 17:27;4;4;4;4;4;4;4;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;7;NA;NA;NA;NA;NA;NA;5;4;NA;24;22;5;NA;NA;NA;NA;60;NA;11.12.2023 17:28;1;0;7;7;0;0;1,24;35;Female
428;long;interview;09.12.2023 16:01;3;2;4;2;2;2;3;1;greedlast;sc3sc2sc1sc4random2;SC13SC09SC06SC04;Small;7;7;NA;NA;8;7;NA;NA;NA;NA;9;8;NA;NA;8;7;NA;NA;10;9;10;33;NA;69;19;23;60;19;26;6;265;NA;09.12.2023 16:05;1;0;11;11;0;0;0,87;27;Female
973;short;interview;11.12.2023 17:04;5;4;2;3;3;2;3;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;3;3;23;15;NA;5;NA;NA;NA;NA;49;NA;11.12.2023 17:05;1;0;7;7;0;0;1,67;NA;NA
999;short;interview;11.12.2023 17:08;5;4;5;3;2;3;3;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;5;NA;NA;NA;NA;12;12;41;34;NA;15;NA;NA;NA;NA;114;NA;11.12.2023 17:10;1;0;7;7;0;0;0,59;56;Male
861;short;interview;11.12.2023 16:50;4;2;2;3;4;1;2;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;4;NA;NA;NA;NA;4;3;39;33;NA;6;NA;NA;NA;NA;85;NA;11.12.2023 16:51;1;0;7;7;0;0;1,2;35;Male
1186;short;interview;11.12.2023 17:25;3;3;2;3;2;2;3;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;5;NA;NA;NA;NA;NA;NA;3;3;NA;31;19;6;NA;NA;NA;NA;62;NA;11.12.2023 17:26;1;0;7;7;0;0;1,45;32;Female
1021;short;interview;11.12.2023 17:11;1;2;2;2;2;2;2;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;7;NA;NA;NA;NA;2;6;35;31;NA;7;NA;NA;NA;NA;81;NA;11.12.2023 17:12;1;0;7;7;0;0;1,28;28;Male
958;short;interview;11.12.2023 17:02;3;1;3;2;1;1;1;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;7;NA;NA;NA;NA;NA;NA;9;5;NA;35;33;8;NA;NA;NA;NA;90;NA;11.12.2023 17:03;1;0;7;7;0;0;0,82;48;Female
1045;short;interview;11.12.2023 17:14;4;4;5;5;4;4;4;1;greedlast;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;7;NA;NA;NA;NA;2;3;NA;36;17;9;NA;NA;NA;NA;67;NA;11.12.2023 17:15;1;0;7;7;0;0;1,53;23;Female
1092;short;interview;11.12.2023 17:19;4;4;4;3;4;4;4;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;6;NA;NA;NA;NA;NA;NA;15;4;NA;14;16;1;NA;NA;NA;NA;50;NA;11.12.2023 17:20;1;0;7;7;0;0;1,67;29;Female
1207;short;interview;11.12.2023 17:27;3;2;4;2;1;2;2;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;4;NA;NA;NA;NA;NA;NA;430;6;NA;106;21;4;NA;NA;NA;NA;144;NA;11.12.2023 17:36;1;0;7;7;0;0;0,77;33;Female
857;short;interview;11.12.2023 16:49;4;4;4;4;4;2;2;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;7;NA;NA;NA;NA;3;5;28;38;NA;1;NA;NA;NA;NA;75;NA;11.12.2023 16:50;1;0;7;7;0;0;1,62;35;Female
1244;short;interview;11.12.2023 17:28;4;3;2;4;3;2;2;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;NA;NA;NA;NA;NA;NA;6;5;44;19;NA;4;NA;NA;NA;NA;78;NA;11.12.2023 17:30;1;0;7;7;0;0;1,16;26;Female
564;long;interview;09.12.2023 16:15;2;1;5;2;1;5;2;1;greedlast;sc2sc3sc4sc1random2;SC05SC07SC12SC08;Large;NA;NA;8;7;NA;NA;8;8;1;4;NA;NA;5;6;NA;NA;1;1;NA;NA;3;3;NA;39;22;32;31;33;50;7;220;NA;09.12.2023 16:18;1;0;11;11;0;0;1,17;30;Female
505;long;interview;09.12.2023 16:09;1;1;4;1;1;1;1;1;greedfirst;sc1sc4sc2sc3random2;SC09SC05SC06SC12;Small;NA;NA;10;6;1;1;NA;NA;NA;NA;4;3;NA;NA;7;9;7;7;NA;NA;9;8;24;27;19;19;15;24;NA;21;166;NA;09.12.2023 16:12;1;0;11;11;0;0;1,05;62;Male
1199;short;interview;11.12.2023 17:26;5;5;5;5;5;5;5;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;8;NA;NA;NA;NA;6;5;23;25;NA;4;NA;NA;NA;NA;63;NA;11.12.2023 17:27;1;0;7;7;0;0;1,21;59;Female
891;short;interview;11.12.2023 16:53;3;2;3;4;2;2;3;1;greedlast;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;5;NA;NA;NA;NA;7;6;NA;31;40;18;NA;NA;NA;NA;102;NA;11.12.2023 16:54;1;0;7;7;0;0;0,74;32;Female
842;short;interview;11.12.2023 16:47;2;1;1;3;2;1;1;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;4;NA;NA;NA;NA;NA;NA;25;4;56;40;NA;4;NA;NA;NA;NA;129;NA;11.12.2023 16:49;1;0;7;7;0;0;0,85;33;Female
749;short;interview;11.12.2023 16:25;2;4;3;2;2;1;2;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;NA;NA;NA;NA;NA;NA;5;3;23;15;NA;2;NA;NA;NA;NA;48;NA;11.12.2023 16:26;1;0;7;7;0;0;1,84;27;Female
893;short;interview;11.12.2023 16:53;3;1;3;2;2;2;2;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;2;NA;NA;NA;NA;NA;NA;3;4;NA;14;20;4;NA;NA;NA;NA;45;NA;11.12.2023 16:54;1;0;7;7;0;0;1,68;31;Female
775;short;interview;11.12.2023 16:32;2;1;5;3;2;2;1;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;7;NA;NA;NA;NA;3;3;23;24;NA;3;NA;NA;NA;NA;56;NA;11.12.2023 16:32;1;0;7;7;0;0;1,69;44;Male
735;short;interview;11.12.2023 16:19;2;2;4;2;2;2;3;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;3;NA;NA;NA;NA;NA;NA;9;4;28;24;NA;25;NA;NA;NA;NA;90;NA;11.12.2023 16:20;1;0;7;7;0;0;0,89;68;Female
859;short;interview;11.12.2023 16:49;4;3;3;2;3;3;3;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9;6;NA;NA;NA;NA;3;3;5;4;NA;1;NA;NA;NA;NA;16;NA;11.12.2023 16:50;1;0;7;7;0;0;2,6;27;Female
989;short;interview;11.12.2023 17:07;4;3;2;4;4;1;1;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;3;NA;NA;NA;NA;10;9;47;46;NA;19;NA;NA;NA;NA;131;NA;11.12.2023 17:09;1;0;7;7;0;0;0,56;32;Female
940;short;interview;11.12.2023 16:59;4;3;4;5;5;2;2;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;5;NA;NA;NA;NA;NA;NA;5;8;NA;32;44;13;NA;NA;NA;NA;102;NA;11.12.2023 17:00;1;0;7;7;0;0;0,79;30;Female
347;long;interview;09.12.2023 15:50;2;1;3;1;1;2;1;1;greedlast;sc4sc3sc2sc1random2;SC09SC07SC12SC04;Large;11;6;NA;NA;NA;NA;11;8;NA;NA;11;10;11;2;NA;NA;1;1;NA;NA;19;15;NA;77;40;70;51;52;68;12;404;NA;09.12.2023 15:57;1;0;11;11;0;0;0,47;56;Female
997;short;interview;11.12.2023 17:08;2;1;3;1;2;1;3;1;greedlast;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;5;NA;NA;NA;NA;8;4;NA;21;20;9;NA;NA;NA;NA;62;NA;11.12.2023 17:09;1;0;7;7;0;0;1,09;52;Female
756;short;interview;11.12.2023 16:26;2;3;1;2;3;2;1;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;4;NA;NA;NA;NA;8;6;29;32;NA;6;NA;NA;NA;NA;81;NA;11.12.2023 16:27;1;0;7;7;0;0;0,92;28;Female
335;long;interview;09.12.2023 15:48;4;4;2;2;4;2;2;1;greedfirst;sc4sc1sc3sc2random2;SC07SC13SC08SC04;Small;5;5;NA;NA;NA;NA;7;6;7;6;NA;NA;NA;NA;5;7;NA;NA;3;3;6;7;72;49;28;58;39;28;NA;19;306;NA;09.12.2023 15:53;1;0;11;11;0;0;0,71;28;Female
64;long;interview;09.12.2023 15:07;3;2;2;2;2;2;2;1;greedfirst;sc2sc4sc1sc3random2;SC09SC05SC12SC06;Large;NA;NA;9;9;6;5;NA;NA;NA;NA;7;8;6;5;NA;NA;5;5;NA;NA;8;6;25;20;15;21;17;29;NA;9;150;NA;09.12.2023 15:09;1;0;11;11;0;0;1,18;37;Female
172;long;interview;09.12.2023 15:16;4;4;4;3;3;2;2;1;greedfirst;sc4sc2sc3sc1random2;SC09SC07SC04SC12;Small;6;6;NA;NA;NA;NA;7;5;NA;NA;5;5;NA;NA;3;6;2;3;NA;NA;5;4;21;24;21;17;20;18;NA;8;138;NA;09.12.2023 15:18;1;0;11;11;0;0;1,32;52;Female
686;short;interview;11.12.2023 15:50;2;2;3;2;2;2;2;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;4;NA;NA;NA;NA;NA;NA;4;6;NA;32;36;6;NA;NA;NA;NA;84;NA;11.12.2023 15:51;1;0;7;7;0;0;1,04;45;Female
508;long;interview;09.12.2023 16:10;4;3;3;4;3;5;4;1;greedlast;sc2sc3sc4sc1random2;SC13SC05SC08SC06;Large;NA;NA;4;5;4;5;NA;NA;4;6;NA;NA;5;5;NA;NA;NA;NA;7;5;67;6;NA;22;3;4;18;7;10;2;80;NA;09.12.2023 16:12;1;0;11;11;0;0;2,06;28;Female
67;long;interview;09.12.2023 15:07;3;3;2;4;3;3;3;1;greedlast;sc4sc2sc3sc1random2;SC07SC09SC12SC04;Large;6;7;NA;NA;NA;NA;5;5;NA;NA;5;6;3;6;NA;NA;5;6;NA;NA;5;3;NA;45;27;36;16;18;36;5;191;NA;09.12.2023 15:11;1;0;11;11;0;0;1,23;22;Female
177;long;interview;09.12.2023 15:17;2;1;2;2;1;1;1;1;greedfirst;sc4sc3sc2sc1random2;SC09SC07SC12SC04;Small;10;9;NA;NA;NA;NA;11;4;NA;NA;4;8;NA;NA;8;4;2;1;NA;NA;13;8;47;47;29;35;32;52;NA;15;278;NA;09.12.2023 15:22;1;0;11;11;0;0;0,66;55;Female
601;long;interview;09.12.2023 16:19;4;2;2;1;3;2;3;1;greedfirst;sc4sc2sc1sc3random2;SC09SC13SC04SC06;Large;7;6;NA;NA;7;6;NA;NA;NA;NA;7;6;3;3;NA;NA;NA;NA;9;8;3;5;22;16;64;16;4;13;NA;2;145;NA;09.12.2023 16:21;1;0;11;11;0;0;1,87;22;Female
944;short;interview;11.12.2023 17:00;4;4;5;4;4;4;4;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8;8;NA;NA;NA;NA;6;4;5;7;NA;2;NA;NA;NA;NA;24;NA;11.12.2023 17:00;1;0;7;7;0;0;2,28;24;Male
356;long;interview;09.12.2023 15:51;2;2;2;2;2;1;1;1;greedlast;sc4sc2sc3sc1random2;SC07SC05SC12SC08;Large;NA;NA;8;8;NA;NA;5;5;3;3;NA;NA;6;6;NA;NA;1;1;NA;NA;7;3;NA;14;24;15;15;21;13;11;123;NA;09.12.2023 15:53;1;0;11;11;0;0;1,5;50;Female
571;long;interview;09.12.2023 16:16;2;1;2;1;1;1;1;1;greedfirst;sc2sc4sc1sc3random2;SC09SC05SC06SC12;Small;NA;NA;4;6;8;8;NA;NA;NA;NA;9;9;NA;NA;9;10;3;2;NA;NA;11;7;27;37;24;26;19;39;NA;14;204;NA;09.12.2023 16:19;1;0;11;11;0;0;0,88;68;Male
1028;short;interview;11.12.2023 17:11;4;3;3;2;2;2;2;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;NA;NA;NA;NA;NA;NA;5;4;13;18;NA;4;NA;NA;NA;NA;44;NA;11.12.2023 17:12;1;0;7;7;0;0;1,59;64;Female
1064;short;interview;11.12.2023 17:17;1;1;2;2;1;2;2;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;8;NA;NA;NA;NA;NA;NA;9;5;NA;24;31;4;NA;NA;NA;NA;73;NA;11.12.2023 17:18;1;0;7;7;0;0;1,06;27;Male
912;short;interview;11.12.2023 16:55;3;2;2;4;1;2;5;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;7;NA;NA;NA;NA;4;5;41;28;NA;6;NA;NA;NA;NA;84;NA;11.12.2023 16:56;1;0;7;7;0;0;1,09;29;Female
1216;short;interview;11.12.2023 17:27;4;2;1;4;2;1;1;1;greedfirst;;;Small;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;7;NA;NA;NA;NA;5;4;30;20;NA;8;NA;NA;NA;NA;67;NA;11.12.2023 17:28;1;0;7;7;0;0;1,15;31;Female
736;short;interview;11.12.2023 16:20;4;2;4;3;2;3;3;1;greedfirst;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;4;NA;NA;NA;NA;NA;NA;4;3;23;21;NA;3;NA;NA;NA;NA;54;NA;11.12.2023 16:20;1;0;7;7;0;0;1,6;59;Male
717;short;interview;11.12.2023 16:09;3;2;4;3;4;3;3;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;5;NA;NA;NA;NA;NA;NA;5;4;NA;35;39;3;NA;NA;NA;NA;86;NA;11.12.2023 16:10;1;0;7;7;0;0;1,22;49;Female
1051;short;interview;11.12.2023 17:15;4;3;3;4;2;2;1;1;greedlast;;;Large;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;3;NA;NA;NA;NA;NA;NA;44;10;NA;52;41;32;NA;NA;NA;NA;142;NA;11.12.2023 17:18;1;0;7;7;0;0;0,4;73;Male
643;long;interview;09.12.2023 16:21;2;1;2;3;1;1;1;1;greedfirst;sc2sc3sc4sc1random2;SC07SC05SC08SC12;Small;NA;NA;10;8;NA;NA;10;8;5;5;NA;NA;NA;NA;7;5;8;7;NA;NA;4;4;21;29;20;24;20;19;NA;2;143;NA;09.12.2023 16:24;1;0;11;11;0;0;1,5;26;Female
281;long;interview;09.12.2023 15:41;1;1;3;1;1;1;4;1;greedfirst;sc3sc2sc1sc4random2;SC09SC13SC04SC06;Small;5;6;NA;NA;3;3;NA;NA;NA;NA;4;7;NA;NA;3;7;NA;NA;3;4;25;8;74;98;72;103;83;77;NA;4;544;NA;09.12.2023 15:50;1;0;11;11;0;0;0,58;29;Female
283;long;interview;09.12.2023 15:41;4;4;2;2;3;1;1;1;greedlast;sc1sc3sc2sc4random2;SC05SC09SC06SC12;Large;NA;NA;4;6;1;1;NA;NA;NA;NA;2;4;1;2;NA;NA;1;1;NA;NA;3;5;NA;22;23;14;17;14;19;2;119;NA;09.12.2023 15:43;1;0;11;11;0;0;1,72;35;Male
659;long;interview;09.12.2023 16:22;2;2;3;3;2;2;1;1;greedlast;sc1sc4sc3sc2random2;SC09SC07SC12SC04;Small;8;7;NA;NA;NA;NA;5;4;NA;NA;8;7;NA;NA;5;6;6;6;NA;NA;12;7;NA;15;10;24;13;24;16;3;124;NA;09.12.2023 16:24;1;0;11;11;0;0;1,6;52;Male
263;long;interview;09.12.2023 15:37;2;1;4;1;1;1;1;1;greedfirst;sc4sc1sc3sc2random2;SC13SC07SC04SC08;Large;2;5;NA;NA;NA;NA;8;5;5;5;NA;NA;2;6;NA;NA;NA;NA;1;2;3;4;26;22;18;15;12;18;NA;5;123;NA;09.12.2023 15:39;1;0;11;11;0;0;1,63;36;Female
